DATAFLOW,MEASURE: Measure,LOAN_TYPE: Loan Type,LOAN_PURPOSE: Loan Purpose,LENDER_TYPE: Lender Type,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-07,3086.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-08,3009.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-09,2613.1,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-10,3004.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-11,3064.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2002-12,3036.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-01,2559.3,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-02,2740.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-03,3164.1,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-04,2921.8,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-05,3328.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-06,3447.1,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-07,3777.6,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-08,3459.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-09,3641.8,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-10,3741.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-11,3806.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2003-12,3652.2,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-01,3014,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-02,3004.8,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-03,3771.3,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-04,3445.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-05,3695.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-06,4044.4,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-07,3383.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-08,3044.4,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-09,3309.7,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-10,3359.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-11,3339,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2004-12,3329.4,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-01,2638.1,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-02,2731.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-03,3311.8,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-04,2944.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-05,3113.6,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-06,3794.4,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-07,3426.3,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-08,3446.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-09,3248,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-10,2899.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-11,3262.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2005-12,3249.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2006-01,2832.8,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2006-02,2985.9,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2006-03,4142.5,AUD: Australian Dollars,6: Millions,,
ABS:LEND_PERSONAL(1.0.0),1: Value of New Loan Commitments,DV8269: Revolving credit,TOTLOANPURP: Total purpose including refinancing,TOT: Total lender type,10: Original,AUS: Australia,M: Monthly,2006-04,3506.1,AUD: Australian Dollars,6: Millions,,
