"MEASURE","Residential Dwellings","ASGS_2011","REGION","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2019-Q3","Sep-2019",6951369.8,,
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2019-Q4","Dec-2019",7170832.2,,
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2020-Q1","Mar-2020",7278072.7,,
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2020-Q2","Jun-2020",7251093.3,,
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2020-Q3","Sep-2020",7487531.1,,
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2020-Q4","Dec-2020",7886460.5,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2021-Q1","Mar-2021",8328147.7,"r","revised"
"1","Value of dwelling stock: Owned by all sectors ($m)","0","Australia","Q","Quarterly","2021-Q2","Jun-2021",8924572.4,"p","preliminary figure or series subject to revision"
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2019-Q3","Sep-2019",6633358.6,,
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2019-Q4","Dec-2019",6847451.4,,
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2020-Q1","Mar-2020",6949644.6,,
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2020-Q2","Jun-2020",6922424,,
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2020-Q3","Sep-2020",7149079.1,,
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2020-Q4","Dec-2020",7529498.4,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2021-Q1","Mar-2021",7957762.2,"r","revised"
"2","Value of dwelling stock: Owned by households ($m)","0","Australia","Q","Quarterly","2021-Q2","Jun-2021",8527630.6,"p","preliminary figure or series subject to revision"
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2019-Q3","Sep-2019",318011.3,,
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2019-Q4","Dec-2019",323380.9,,
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2020-Q1","Mar-2020",328428.1,,
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2020-Q2","Jun-2020",328669.3,,
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2020-Q3","Sep-2020",338452,,
"3","Value of dwelling stock: Owned by non households ($m)","0","Australia","Q","Quarterly","2020-Q4","Dec-2020",356962.2,"r","revised"
