Series ID,FLRPFOCIT,FLRPFOFLT,FLRPFOMLT,FLRPFOFTT,FLRPFOFTR,FLRPFOFTF,FLRPFOFTV,FLRPFOORT,FLRPFOORR,FLRPFOORF,FLRPFOORV,FLRPFNFLT,FLRPFNMLT,FLRPFNFTT,FLRPFNFTR,FLRPFNFTF,FLRPFNFTV
31/07/2019,16.99,6.71,5.08,7.34,4.10,8.07,6.71,6.47,5.14,3.12,6.95,6.75,4.68,8.27,3.60,8.23,8.33
31/08/2019,17.07,6.65,5.04,7.31,4.07,8.33,6.35,6.71,5.13,5.05,7.01,5.78,4.69,8.23,3.66,8.61,7.56
30/09/2019,17.01,6.60,5.02,7.23,4.06,8.19,6.34,6.58,5.12,5.06,6.86,5.57,4.21,8.01,3.64,8.24,7.61
31/10/2019,17.01,6.51,4.99,6.98,3.91,8.12,5.96,6.49,4.92,5.08,6.77,5.58,4.21,7.59,3.54,8.02,6.98
30/11/2019,17.07,6.43,4.91,6.97,3.89,8.16,5.90,6.50,4.91,5.13,6.77,5.55,4.12,7.33,3.49,8.16,6.16
31/12/2019,17.08,6.37,4.91,6.96,3.88,8.16,5.87,6.50,4.91,5.21,6.77,5.49,4.62,7.54,3.47,8.18,6.59
31/01/2020,17.19,6.32,4.91,6.94,3.86,8.17,5.84,6.46,4.91,5.24,6.73,5.50,4.73,7.73,3.47,8.25,6.87
29/02/2020,17.15,6.27,4.89,6.92,3.84,8.15,5.81,6.49,4.91,5.28,6.76,5.46,4.01,7.74,3.42,8.07,7.16
31/03/2020,17.14,6.21,4.81,6.75,3.59,8.13,5.52,6.40,4.66,5.31,6.66,5.34,4.25,7.27,3.16,7.85,6.45
30/04/2020,17.02,6.17,4.71,6.65,3.53,8.02,5.42,6.31,4.63,5.36,6.53,5.33,4.79,6.33,3.11,7.59,5.15
31/05/2020,16.94,6.12,4.67,6.53,3.50,7.81,5.36,6.23,4.60,5.23,6.47,5.27,3.81,6.31,3.05,7.14,5.17
30/06/2020,16.86,6.07,4.32,6.53,3.45,7.80,5.34,6.17,4.57,5.13,6.43,5.40,3.69,6.31,2.98,6.76,5.44
31/07/2020,16.78,6.03,4.30,6.45,3.42,7.69,5.27,6.08,4.54,5.05,6.35,5.39,4.26,6.57,2.96,7.11,5.49
31/08/2020,16.89,5.99,4.28,6.42,3.40,7.66,5.22,6.05,4.52,5.02,6.32,5.22,3.90,6.64,2.95,7.22,5.54
30/09/2020,16.85,5.97,4.29,6.36,3.37,7.56,5.18,6.03,4.49,4.99,6.32,5.04,4.00,6.54,2.92,7.20,5.39
31/10/2020,16.91,5.92,4.29,6.32,3.35,7.53,5.12,6.03,4.48,5.00,6.32,4.94,3.56,6.59,2.89,7.21,5.48
30/11/2020,17.22,5.85,4.24,6.29,3.32,7.49,5.10,6.01,4.46,5.05,6.31,4.86,3.94,6.65,2.87,7.12,5.66
31/12/2020,17.24,5.79,4.18,6.26,3.30,7.42,5.07,5.81,4.43,5.12,6.02,4.79,4.32,6.48,2.80,6.79,5.77
31/01/2021,17.43,5.74,4.18,6.22,3.27,7.36,5.05,5.83,4.42,5.14,6.05,4.81,3.90,6.74,2.79,6.95,6.23
28/02/2021,17.30,5.69,4.17,6.20,3.25,7.30,5.03,5.93,4.41,5.16,6.19,4.75,3.59,6.67,2.74,7.03,5.91
31/03/2021,17.41,5.61,4.15,6.12,3.22,7.20,5.01,5.89,4.39,5.23,6.11,5.26,3.69,6.50,2.72,6.86,5.82
30/04/2021,17.35,5.59,4.15,6.12,3.19,7.15,4.99,5.89,4.38,5.28,6.11,4.79,3.82,6.47,2.66,6.70,5.98
31/05/2021,17.24,5.54,4.14,6.08,3.16,7.08,4.96,5.90,4.36,5.34,6.10,4.78,3.92,6.22,2.68,6.57,5.53
30/06/2021,17.23,5.50,3.95,6.04,3.14,7.02,4.93,5.91,4.33,5.42,6.09,4.81,4.20,5.83,2.65,6.29,4.94
31/07/2021,17.16,5.38,3.93,6.00,3.11,6.96,4.88,5.86,4.31,5.43,6.02,4.81,3.84,5.73,2.66,6.37,4.61
31/08/2021,17.18,5.35,3.94,6.03,3.07,6.91,4.93,5.83,4.30,5.52,5.95,4.82,3.71,5.92,2.83,6.43,4.94
